title,genre,ID_genre,ID_movie
#ALIVE,Action,GEN-001,MOV-0001
#ALIVE,Drama,GEN-008,MOV-0001
#ALIVE,Horror,GEN-012,MOV-0001
#ALIVE,Thriller,GEN-022,MOV-0001
10 CLOVERFIELD LANE,Drama,GEN-008,MOV-0002
10 CLOVERFIELD LANE,Horror,GEN-012,MOV-0002
10 CLOVERFIELD LANE,Sci-Fi,GEN-019,MOV-0002
10 CLOVERFIELD LANE,Thriller,GEN-022,MOV-0002
10 DAYS WITH DAD,Comedy,GEN-005,MOV-0003
10 DAYS WITH DAD,Family,GEN-009,MOV-0003
10 LIVES,Animation,GEN-003,MOV-0004
10 LIVES,Comedy,GEN-005,MOV-0004
10 LIVES,Family,GEN-009,MOV-0004
10 LIVES,Fantasy,GEN-010,MOV-0004
100% WOLF,Adventure,GEN-002,MOV-0005
100% WOLF,Animation,GEN-003,MOV-0005
100% WOLF,Comedy,GEN-005,MOV-0005
100% WOLF,Family,GEN-009,MOV-0005
100% WOLF,Fantasy,GEN-010,MOV-0005
12 STRONG,Action,GEN-001,MOV-0006
12 STRONG,Drama,GEN-008,MOV-0006
12 STRONG,History,GEN-011,MOV-0006
12 STRONG,War,GEN-023,MOV-0006
12.12: THE DAY,Action,GEN-001,MOV-0007
12.12: THE DAY,Drama,GEN-008,MOV-0007
12.12: THE DAY,History,GEN-011,MOV-0007
12.12: THE DAY,Thriller,GEN-022,MOV-0007
13 HOURS,Action,GEN-001,MOV-0008
13 HOURS,Drama,GEN-008,MOV-0008
13 HOURS,History,GEN-011,MOV-0008
13 HOURS,Thriller,GEN-022,MOV-0008
13 HOURS,War,GEN-023,MOV-0008
1917,Action,GEN-001,MOV-0009
1917,Drama,GEN-008,MOV-0009
1917,War,GEN-023,MOV-0009
1921,Drama,GEN-008,MOV-0010
1987: WHEN THE DAY COMES,Drama,GEN-008,MOV-0011
1987: WHEN THE DAY COMES,History,GEN-011,MOV-0011
1987: WHEN THE DAY COMES,Thriller,GEN-022,MOV-0011
1ST KISS,Drama,GEN-008,MOV-0012
1ST KISS,Fantasy,GEN-010,MOV-0012
1ST KISS,Romance,GEN-018,MOV-0012
2.0,Action,GEN-001,MOV-0013
2.0,Fantasy,GEN-010,MOV-0013
2.0,Sci-Fi,GEN-019,MOV-0013
2.0,Thriller,GEN-022,MOV-0013
200% WOLF,Action,GEN-001,MOV-0014
200% WOLF,Adventure,GEN-002,MOV-0014
200% WOLF,Animation,GEN-003,MOV-0014
200% WOLF,Comedy,GEN-005,MOV-0014
200% WOLF,Family,GEN-009,MOV-0014
200% WOLF,Fantasy,GEN-010,MOV-0014
21 BRIDGES,Action,GEN-001,MOV-0015
21 BRIDGES,Adventure,GEN-002,MOV-0015
21 BRIDGES,Crime,GEN-006,MOV-0015
21 BRIDGES,Drama,GEN-008,MOV-0015
21 BRIDGES,Mystery,GEN-015,MOV-0015
21 BRIDGES,Thriller,GEN-022,MOV-0015
28 YEARS LATER,Horror,GEN-012,MOV-0016
28 YEARS LATER,Sci-Fi,GEN-019,MOV-0016
28 YEARS LATER,Thriller,GEN-022,MOV-0016
30 JOURS MAX,Action,GEN-001,MOV-0017
30 JOURS MAX,Comedy,GEN-005,MOV-0017
30 JOURS MAX,Crime,GEN-006,MOV-0017
365 DAYS,Drama,GEN-008,MOV-0018
365 DAYS,Romance,GEN-018,MOV-0018
366 NICHI,Romance,GEN-018,MOV-0019
47 METERS DOWN,Horror,GEN-012,MOV-0020
47 METERS DOWN,Mystery,GEN-015,MOV-0020
47 METERS DOWN,Thriller,GEN-022,MOV-0020
47 METERS DOWN: UNCAGED,Adventure,GEN-002,MOV-0021
47 METERS DOWN: UNCAGED,Drama,GEN-008,MOV-0021
47 METERS DOWN: UNCAGED,Horror,GEN-012,MOV-0021
47 METERS DOWN: UNCAGED,Thriller,GEN-022,MOV-0021
5 CENTIMETERS PER SECOND,Drama,GEN-008,MOV-0022
5 CENTIMETERS PER SECOND,Romance,GEN-018,MOV-0022
6/45,Comedy,GEN-005,MOV-0023
65,Action,GEN-001,MOV-0024
65,Adventure,GEN-002,MOV-0024
65,Sci-Fi,GEN-019,MOV-0024
65,Thriller,GEN-022,MOV-0024
731,Drama,GEN-008,MOV-0025
731,History,GEN-011,MOV-0025
731,Horror,GEN-012,MOV-0025
731,Thriller,GEN-022,MOV-0025
731,War,GEN-023,MOV-0025
777 CHARLIE,Adventure,GEN-002,MOV-0026
777 CHARLIE,Comedy,GEN-005,MOV-0026
777 CHARLIE,Drama,GEN-008,MOV-0026
80 FOR BRADY,Comedy,GEN-005,MOV-0027
80 FOR BRADY,Drama,GEN-008,MOV-0027
80 FOR BRADY,Sport,GEN-021,MOV-0027
99.9 CRIMINAL LAWYER: THE MOVIE,Comedy,GEN-005,MOV-0028
99.9 CRIMINAL LAWYER: THE MOVIE,Crime,GEN-006,MOV-0028
99.9 CRIMINAL LAWYER: THE MOVIE,Drama,GEN-008,MOV-0028
A BAD MOMS CHRISTMAS,Comedy,GEN-005,MOV-0029
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Biography,GEN-004,MOV-0030
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Drama,GEN-008,MOV-0030
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Family,GEN-009,MOV-0030
A BEAUTIFUL PLANET,Documentary,GEN-007,MOV-0031
A BIG BOLD BEAUTIFUL JOURNEY,Drama,GEN-008,MOV-0032
A BIG BOLD BEAUTIFUL JOURNEY,Fantasy,GEN-010,MOV-0032
A BIG BOLD BEAUTIFUL JOURNEY,Romance,GEN-018,MOV-0032
A CHINESE ODYSSEY: PART 2 - CINDERELLA,Action,GEN-001,MOV-0033
A CHINESE ODYSSEY: PART 2 - CINDERELLA,Adventure,GEN-002,MOV-0033
A CHINESE ODYSSEY: PART 2 - CINDERELLA,Comedy,GEN-005,MOV-0033
A CHINESE ODYSSEY: PART 2 - CINDERELLA,Drama,GEN-008,MOV-0033
A CHINESE ODYSSEY: PART 2 - CINDERELLA,Fantasy,GEN-010,MOV-0033
A CHINESE ODYSSEY: PART 2 - CINDERELLA,Romance,GEN-018,MOV-0033
A CHINESE ODYSSEY: PART THREE,Action,GEN-001,MOV-0034
A CHINESE ODYSSEY: PART THREE,Adventure,GEN-002,MOV-0034
A CHINESE ODYSSEY: PART THREE,Comedy,GEN-005,MOV-0034
A CHINESE ODYSSEY: PART THREE,Drama,GEN-008,MOV-0034
A CHINESE ODYSSEY: PART THREE,Fantasy,GEN-010,MOV-0034
A COMPLETE UNKNOWN,Biography,GEN-004,MOV-0035
A COMPLETE UNKNOWN,Drama,GEN-008,MOV-0035
A COMPLETE UNKNOWN,Music,GEN-013,MOV-0035
A COOL FISH,Comedy,GEN-005,MOV-0036
A COOL FISH,Crime,GEN-006,MOV-0036
A COOL FISH,Drama,GEN-008,MOV-0036
A CURE FOR WELLNESS,Drama,GEN-008,MOV-0037
A CURE FOR WELLNESS,Fantasy,GEN-010,MOV-0037
A CURE FOR WELLNESS,Horror,GEN-012,MOV-0037
A CURE FOR WELLNESS,Mystery,GEN-015,MOV-0037
A CURE FOR WELLNESS,Sci-Fi,GEN-019,MOV-0037
A CURE FOR WELLNESS,Thriller,GEN-022,MOV-0037
A DOG'S JOURNEY,Adventure,GEN-002,MOV-0038
A DOG'S JOURNEY,Comedy,GEN-005,MOV-0038
A DOG'S JOURNEY,Drama,GEN-008,MOV-0038
A DOG'S JOURNEY,Family,GEN-009,MOV-0038
