title,distributor,genre,ID_movie
#ALIVE,Not classified,"Action, Drama, Horror, Thriller",MOV-0001
10 CLOVERFIELD LANE,Paramount Pictures,"Drama, Horror, Sci-Fi, Thriller",MOV-0002
10 DAYS WITH DAD,Distrib Films,"Comedy, Family",MOV-0003
10 LIVES,Not classified,"Animation, Comedy, Family, Fantasy",MOV-0004
100% WOLF,Viva Pictures,"Adventure, Animation, Comedy, Family, Fantasy",MOV-0005
12 STRONG,Warner Bros.,"Action, Drama, History, War",MOV-0006
12.12: THE DAY,Not classified,"Action, Drama, History, Thriller",MOV-0007
13 HOURS,Paramount Pictures,"Action, Drama, History, Thriller, War",MOV-0008
1917,Universal Pictures,"Action, Drama, War",MOV-0009
1921,Not classified,Drama,MOV-0010
1987: WHEN THE DAY COMES,Not classified,"Drama, History, Thriller",MOV-0011
1ST KISS,Not classified,"Drama, Fantasy, Romance",MOV-0012
2.0,Not classified,"Action, Fantasy, Sci-Fi, Thriller",MOV-0013
200% WOLF,Viva Pictures,"Action, Adventure, Animation, Comedy, Family, Fantasy",MOV-0014
21 BRIDGES,STX Entertainment,"Action, Adventure, Crime, Drama, Mystery, Thriller",MOV-0015
28 YEARS LATER,Sony Pictures Releasing,"Horror, Sci-Fi, Thriller",MOV-0016
30 JOURS MAX,Not classified,"Action, Comedy, Crime",MOV-0017
365 DAYS,Not classified,"Drama, Romance",MOV-0018
366 NICHI,Not classified,Romance,MOV-0019
47 METERS DOWN,Entertainment Studios Motion Pictures,"Horror, Mystery, Thriller",MOV-0020
47 METERS DOWN: UNCAGED,Entertainment Studios Motion Pictures,"Adventure, Drama, Horror, Thriller",MOV-0021
5 CENTIMETERS PER SECOND,Not classified,"Drama, Romance",MOV-0022
6/45,Not classified,Comedy,MOV-0023
65,Sony Pictures Releasing,"Action, Adventure, Sci-Fi, Thriller",MOV-0024
731,Well Go USA Entertainment,"Drama, History, Horror, Thriller, War",MOV-0025
777 CHARLIE,Not classified,"Adventure, Comedy, Drama",MOV-0026
80 FOR BRADY,Paramount Pictures,"Comedy, Drama, Sport",MOV-0027
99.9 CRIMINAL LAWYER: THE MOVIE,Not classified,"Comedy, Crime, Drama",MOV-0028
A BAD MOMS CHRISTMAS,STX Entertainment,Comedy,MOV-0029
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Sony Pictures Releasing,"Biography, Drama, Family",MOV-0030
A BEAUTIFUL PLANET,IMAX,Documentary,MOV-0031
A BIG BOLD BEAUTIFUL JOURNEY,Sony Pictures Releasing,"Drama, Fantasy, Romance",MOV-0032
A CHINESE ODYSSEY: PART 2 - CINDERELLA,Not classified,"Action, Adventure, Comedy, Drama, Fantasy, Romance",MOV-0033
A CHINESE ODYSSEY: PART THREE,Not classified,"Action, Adventure, Comedy, Drama, Fantasy",MOV-0034
A COMPLETE UNKNOWN,Searchlight Pictures,"Biography, Drama, Music",MOV-0035
A COOL FISH,China Lion Film Distribution,"Comedy, Crime, Drama",MOV-0036
A CURE FOR WELLNESS,Twentieth Century Fox,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",MOV-0037
A DOG'S JOURNEY,Universal Pictures,"Adventure, Comedy, Drama, Family, Fantasy",MOV-0038
A DOG'S PURPOSE,Universal Pictures,"Adventure, Comedy, Drama, Family, Fantasy",MOV-0039
A DOG'S WAY HOME,Sony Pictures Releasing,"Adventure, Drama, Family",MOV-0040
A GUILTY CONSCIENCE,Not classified,"Comedy, Crime, Drama, Mystery",MOV-0041
A HAUNTING IN VENICE,20th Century Studios,"Crime, Drama, Horror, Mystery, Thriller",MOV-0042
A LITTLE RED FLOWER,Not classified,"Drama, Family",MOV-0043
A LITTLE SOMETHING EXTRA,Not classified,Comedy,MOV-0044
A MADEA FAMILY FUNERAL,Lionsgate,"Comedy, Drama",MOV-0045
A MAN CALLED OTTO,Columbia Pictures,"Comedy, Drama",MOV-0046
A MAN CALLED OVE,Music Box Films,"Comedy, Drama, Romance",MOV-0047
A MILLION MINUTES,Not classified,Drama,MOV-0048
A MINECRAFT MOVIE,Warner Bros.,"Action, Adventure, Comedy, Family, Fantasy",MOV-0049
A MONSTER CALLS,Focus Features,"Adventure, Drama, Family, Fantasy, Horror",MOV-0050
A MOROCCAN AFFAIR,Not classified,Comedy,MOV-0051
A MOUSE HUNT FOR CHRISTMAS,Not classified,"Comedy, Family",MOV-0052
A OR B,Not classified,"Crime, Drama, Mystery, Thriller",MOV-0053
A PAW PATROL CHRISTMAS,Not classified,"Animation, Family",MOV-0054
A PIECE OF CAKE,Not classified,"Animation, Comedy, Family, Fantasy",MOV-0055
A PLACE CALLED SILENCE,Not classified,"Crime, Drama, Mystery",MOV-0056
A QUIET PLACE,Paramount Pictures,"Drama, Horror, Sci-Fi",MOV-0057
A QUIET PLACE PART II,Paramount Pictures,"Drama, Horror, Sci-Fi, Thriller",MOV-0058
A QUIET PLACE: DAY ONE,Paramount Pictures,"Drama, Horror, Sci-Fi, Thriller",MOV-0059
A RAINY DAY IN NEW YORK,Not classified,"Comedy, Romance",MOV-0060
A REAL PAIN,Searchlight Pictures,"Comedy, Drama",MOV-0061
A SHAUN THE SHEEP MOVIE: FARMAGEDDON,Not classified,"Adventure, Animation, Comedy, Family, Fantasy, Sci-Fi",MOV-0062
A SILENT VOICE: THE MOVIE,Eleven Arts,"Animation, Drama",MOV-0063
A SIMPLE FAVOR,Lionsgate,"Comedy, Crime, Mystery, Thriller",MOV-0064
A SMILE DOESN'T LIE,Not classified,Comedy,MOV-0065
A STAR IS BORN,Warner Bros.,"Drama, Music, Romance",MOV-0066
A STRANGE HOUSE,Not classified,"Mystery, Thriller",MOV-0067
A STRONG INSECT CROSSING THE RIVER,Not classified,Comedy,MOV-0068
A TAXI DRIVER,Well Go USA Entertainment,"Action, Drama, History",MOV-0069
A VIOLENT PROSECUTOR,Not classified,"Action, Comedy, Crime, Thriller",MOV-0070
A WALK IN THE WOODS,Broad Green Pictures,"Adventure, Biography, Comedy, Drama",MOV-0071
A WITNESS OUT OF THE BLUE,Not classified,"Crime, Mystery, Thriller",MOV-0072
A WORKING MAN,Amazon MGM Studios,"Action, Thriller",MOV-0073
A WRINKLE IN TIME,Walt Disney Studios Motion Pictures,"Adventure, Drama, Family, Fantasy, Sci-Fi",MOV-0074
A WRITER'S ODYSSEY,CMC Pictures,"Action, Adventure, Fantasy, Mystery",MOV-0075
ABIGAIL,Universal Pictures,"Action, Comedy, Crime, Drama, Horror, Thriller",MOV-0076
ABOMINABLE,Universal Pictures,"Adventure, Animation, Comedy, Family, Fantasy",MOV-0077
ABOUT A PLACE IN THE KINKI REGION,Not classified,Horror,MOV-0078
ABOUT MY FATHER,Lionsgate,Comedy,MOV-0079
ABSOLUTELY FABULOUS: THE MOVIE,Fox Searchlight Pictures,"Comedy, Crime",MOV-0080
ACHARYA,Prime Media Pictures,"Action, Drama",MOV-0081
ACRIMONY,Lionsgate,"Drama, Horror, Romance, Thriller",MOV-0082
AD ASTRA,Twentieth Century Fox,"Adventure, Drama, Mystery, Sci-Fi, Thriller",MOV-0083
ADORING,Not classified,"Drama, Family, Romance",MOV-0084
ADRIFT,STX Entertainment,"Action, Adventure, Biography, Drama, Romance, Thriller",MOV-0085
ADU,Not classified,Drama,MOV-0086
AE DIL HAI MUSHKIL,FIP,"Drama, Musical, Romance",MOV-0087
AFRAID,Sony Pictures Releasing,"Horror, Mystery, Sci-Fi, Thriller",MOV-0088
AFTER,Aviron Pictures,"Drama, Romance",MOV-0089
AFTER DEATH,Angel,Documentary,MOV-0090
AFTER EVER HAPPY,Fathom Events,"Drama, Romance",MOV-0091
AFTER EVERYTHING,Fathom Events,"Drama, Romance",MOV-0092
AFTER WE COLLIDED,Open Road Films (II),"Drama, Romance",MOV-0093
AFTER WE FELL,Vertical Entertainment,"Drama, Romance",MOV-0094
AFTERSUN,A24,Drama,MOV-0095
AGENT BACKKOM: KING'S BEAR,Not classified,Animation,MOV-0096
