n_rank,year_rank,title,worldwide_gross,domestic_gross,domestic_perc,foreign_gross,foreign_perc
1,2015,STAR WARS: EPISODE VII - THE FORCE AWAKENS,2068223624,936662225,45.3,1131561399,54.7
2,2015,JURASSIC WORLD,1670400637,652270625,39,1018130012,61
3,2015,FURIOUS 7,1515047671,353007020,23.3,1162040651,76.7
4,2015,AVENGERS: AGE OF ULTRON,1402805868,459005868,32.7,943800000,67.3
5,2015,MINIONS,1159398397,336045770,29,823352627,71
6,2015,SPECTRE,880674609,200074609,22.7,680600000,77.3
7,2015,INSIDE OUT,858294430,356461711,41.5,501832719,58.5
8,2015,MISSION: IMPOSSIBLE - ROGUE NATION,682714267,195042377,28.6,487671890,71.4
9,2015,THE HUNGER GAMES: MOCKINGJAY - PART 2,653428261,281723902,43.1,371704359,56.9
10,2015,THE MARTIAN,630161890,228433663,36.2,401728227,63.8
11,2015,FIFTY SHADES OF GREY,569651467,166167230,29.2,403484237,70.8
12,2015,CINDERELLA,542351353,201151353,37.1,341200000,62.9
13,2015,THE REVENANT,532950503,183637894,34.5,349312609,65.5
14,2015,ANT-MAN,519311965,180202163,34.7,339109802,65.3
15,2015,HOTEL TRANSYLVANIA 2,474800000,169700110,35.7,305099890,64.3
16,2015,SAN ANDREAS,474590832,155190832,32.7,319400000,67.3
17,2015,TERMINATOR GENISYS,440603537,89760956,20.4,350842581,79.6
18,2015,KINGSMAN: THE SECRET SERVICE,414351546,128261724,31,286089822,69
19,2015,MONSTER HUNT,387053506,32766,0,387020740,100
20,2015,HOME,386041607,177397510,46,208644097,54
21,2015,MAD MAX: FURY ROAD,379436354,153636354,40.5,225800000,59.5
22,2015,THE GOOD DINOSAUR,332207671,123087120,37.1,209120551,62.9
23,2015,TAKEN 3,326479141,89256424,27.3,237222717,72.7
24,2015,THE SPONGEBOB MOVIE: SPONGE OUT OF WATER,325186032,162994032,50.1,162192000,49.9
