year_rank,dates,title,italy_gross
2015,Dec 25-27,STAR WARS: EPISODE VII - THE FORCE AWAKENS,296447415
2015,Dec 18-20,STAR WARS: EPISODE VII - THE FORCE AWAKENS,313284961
2015,Dec 11-13,THE HUNGER GAMES: MOCKINGJAY - PART 2,77446378
2015,Nov 20-22,THE HUNGER GAMES: MOCKINGJAY - PART 2,173610096
2015,Nov 13-15,SPECTRE,108047802
2015,Nov 6-8,SPECTRE,161918615
2015,Oct 23-25,THE MARTIAN,105775731
2015,Oct 16-18,GOOSEBUMPS,121579792
2015,Oct 9-11,THE MARTIAN,118992658
2015,Oct 2-4,THE MARTIAN,149772643
2015,Sep 25-27,HOTEL TRANSYLVANIA 2,137820669
2015,Sep 18-20,MAZE RUNNER: THE SCORCH TRIALS,112827167
2015,Sep 11-13,THE PERFECT GUY,102512365
2015,Sep 4-6,WAR ROOM,90555329
2015,Aug 28-30,STRAIGHT OUTTA COMPTON,87836416
2015,Aug 21-23,STRAIGHT OUTTA COMPTON,106631353
2015,Aug 14-16,STRAIGHT OUTTA COMPTON,148106885
2015,Aug 7-9,MISSION: IMPOSSIBLE - ROGUE NATION,131916514
2015,Jul 24-26,ANT-MAN,151040028
2015,Jul 17-19,ANT-MAN,193925542
2015,Jul 10-12,MINIONS,215076951
2015,Jul 3-5,INSIDE OUT,135328419
2015,Jun 26-28,JURASSIC WORLD,184089868
2015,Jun 19-21,JURASSIC WORLD,248039944
2015,Jun 12-14,JURASSIC WORLD,273785662
2015,Jun 5-7,SPY,132771309
2015,May 29-31,SAN ANDREAS,138472506
2015,May 22-24,TOMORROWLAND,154080020
2015,May 15-17,PITCH PERFECT 2,184554442
2015,May 8-10,AVENGERS: AGE OF ULTRON,131347747
2015,Apr 24-26,FURIOUS 7,97392898
2015,Apr 17-19,FURIOUS 7,119720998
2015,Apr 10-12,FURIOUS 7,131496504
2015,Apr 3-5,FURIOUS 7,224366628
2015,Mar 27-29,HOME,150316547
2015,Mar 20-22,THE DIVERGENT SERIES: INSURGENT,130961022
2015,Mar 13-15,CINDERELLA,131677520
2015,Mar 6-8,CHAPPIE,89415791
2015,Feb 20-22,FIFTY SHADES OF GREY,118837843
2015,Feb 13-15,FIFTY SHADES OF GREY,213956193
2015,Feb 6-8,THE SPONGEBOB MOVIE: SPONGE OUT OF WATER,152017118
2015,Jan 23-25,AMERICAN SNIPER,159469503
2015,Jan 16-18,AMERICAN SNIPER,203241390
2015,Jan 9-11,TAKEN 3,126281851
2015,Jan 2-4,THE HOBBIT: THE BATTLE OF THE FIVE ARMIES,155083722
2016,Dec 23-25,ROGUE ONE: A STAR WARS STORY,181350322
2016,Dec 16-18,ROGUE ONE: A STAR WARS STORY,211583035
2016,Dec 9-11,MOANA,83717240
2016,Nov 18-20,FANTASTIC BEASTS AND WHERE TO FIND THEM,157984223
2016,Nov 11-13,DOCTOR STRANGE,158440850
2016,Nov 4-6,DOCTOR STRANGE,191568495
2016,Oct 28-30,BOO! A MADEA HALLOWEEN,88827696
2016,Oct 21-23,BOO! A MADEA HALLOWEEN,125010284
2016,Oct 14-16,THE ACCOUNTANT,98992813
2016,Oct 7-9,THE GIRL ON THE TRAIN,104318304
2016,Sep 23-25,THE MAGNIFICENT SEVEN,104137992
2016,Sep 16-18,SULLY,90021653
2016,Sep 9-11,SULLY,100847907
2016,Sep 2-4,DON'T BREATHE,100107664
2016,Aug 26-28,DON'T BREATHE,117321334
2016,Jul 29-31,JASON BOURNE,190037811
2016,Jul 22-24,STAR TREK BEYOND,196083640
2016,Jul 15-17,THE SECRET LIFE OF PETS,163103247
2016,Jul 8-10,THE SECRET LIFE OF PETS,217491665
2016,Jul 1-3,FINDING DORY,190593683
2016,Jun 24-26,FINDING DORY,188682746
2016,Jun 17-19,FINDING DORY,233178561
2016,Jun 10-12,THE CONJURING 2,152792949
2016,Jun 3-5,TEENAGE MUTANT NINJA TURTLES: OUT OF THE SHADOWS,134999656
2016,May 27-29,X-MEN: APOCALYPSE,164133840
2016,May 20-22,THE ANGRY BIRDS MOVIE,137158400
2016,May 13-15,CAPTAIN AMERICA: CIVIL WAR,130908594
2016,May 6-8,CAPTAIN AMERICA: CIVIL WAR,239468632
2016,Apr 22-24,THE JUNGLE BOOK,128304144
2016,Apr 15-17,THE JUNGLE BOOK,176691491
2016,Apr 8-10,THE BOSS,105246691
2016,Apr 1-3,BATMAN V SUPERMAN: DAWN OF JUSTICE,130889005
2016,Mar 25-27,BATMAN V SUPERMAN: DAWN OF JUSTICE,252300615
2016,Mar 18-20,ZOOTOPIA,131307311
2016,Mar 11-13,ZOOTOPIA,135301106
2016,Mar 4-6,ZOOTOPIA,161499059
2016,Feb 26-28,DEADPOOL,112386016
2016,Feb 19-21,DEADPOOL,141851056
2016,Feb 12-14,DEADPOOL,239154233
2016,Feb 5-7,KUNG FU PANDA 3,95508876
2016,Jan 29-31,KUNG FU PANDA 3,139252676
2016,Jan 22-24,THE REVENANT,113596503
2016,Jan 15-17,RIDE ALONG 2,166004623
2016,Jan 8-10,STAR WARS: EPISODE VII - THE FORCE AWAKENS,159323600
2016,Jan 1-3,STAR WARS: EPISODE VII - THE FORCE AWAKENS,219510014
2017,Dec 29-31,STAR WARS: EPISODE VIII - THE LAST JEDI,194096602
2017,Dec 22-24,STAR WARS: EPISODE VIII - THE LAST JEDI,178168406
2017,Dec 15-17,STAR WARS: EPISODE VIII - THE LAST JEDI,278067957
2017,Dec 8-10,COCO,84873861
2017,Nov 17-19,JUSTICE LEAGUE,199223159
2017,Nov 10-12,THOR: RAGNAROK,151562937
2017,Nov 3-5,THOR: RAGNAROK,180275276
2017,Oct 27-29,JIGSAW,76856088
2017,Oct 20-22,BOO 2! A MADEA HALLOWEEN,95980741
2017,Oct 13-15,HAPPY DEATH DAY,100461379
2017,Oct 6-8,BLADE RUNNER 2049,105557205
2017,Sep 22-24,KINGSMAN: THE GOLDEN CIRCLE,117918784
2017,Sep 15-17,IT,112222203
2017,Sep 8-10,IT,164044803
2017,Sep 1-3,THE HITMAN'S BODYGUARD,77634434
2017,Aug 25-27,THE HITMAN'S BODYGUARD,69312122
2017,Aug 18-20,THE HITMAN'S BODYGUARD,96486715
2017,Aug 11-13,ANNABELLE: CREATION,116913742
2017,Aug 4-6,THE DARK TOWER,122787940
2017,Jul 28-30,DUNKIRK,144397313
2017,Jul 21-23,DUNKIRK,180801251
2017,Jul 14-16,WAR FOR THE PLANET OF THE APES,163324876
2017,Jul 7-9,SPIDER-MAN: HOMECOMING,206488903
2017,Jun 23-25,TRANSFORMERS: THE LAST KNIGHT,140826843
2017,Jun 16-18,CARS 3,190580340
2017,Jun 9-11,WONDER WOMAN,144176376
2017,Jun 2-4,WONDER WOMAN,185842459
2017,May 26-28,PIRATES OF THE CARIBBEAN: DEAD MEN TELL NO TALES,142341187
2017,May 19-21,ALIEN: COVENANT,124441368
2017,May 12-14,GUARDIANS OF THE GALAXY VOL. 2,136001326
2017,May 5-7,GUARDIANS OF THE GALAXY VOL. 2,195098085
2017,Apr 28-30,THE FATE OF THE FURIOUS,99778230
2017,Apr 21-23,THE FATE OF THE FURIOUS,107650168
2017,Apr 14-16,THE FATE OF THE FURIOUS,168607242
2017,Apr 7-9,THE BOSS BABY,120077853
2017,Mar 24-26,BEAUTY AND THE BEAST,202066084
2017,Mar 17-19,BEAUTY AND THE BEAST,260823456
2017,Mar 10-12,KONG: SKULL ISLAND,163997836
2017,Mar 3-5,LOGAN,189697727
2017,Feb 24-26,GET OUT,124126169
2017,Feb 17-19,THE LEGO BATMAN MOVIE,150631026
2017,Feb 10-12,THE LEGO BATMAN MOVIE,188591354
2017,Feb 3-5,SPLIT,99239960
2017,Jan 27-29,SPLIT,141980332
2017,Jan 20-22,SPLIT,145007859
2017,Jan 13-15,HIDDEN FIGURES,149365311
2017,Jan 6-8,HIDDEN FIGURES,137405045
2018,Dec 28-30,AQUAMAN,188210389
2018,Dec 21-23,AQUAMAN,178360577
2018,Dec 14-16,SPIDER-MAN: INTO THE SPIDER-VERSE,120463418
2018,Dec 7-9,RALPH BREAKS THE INTERNET,85822147
2018,Nov 16-18,FANTASTIC BEASTS: THE CRIMES OF GRINDELWALD,174705199
2018,Nov 9-11,THE GRINCH,168344121
2018,Nov 2-4,BOHEMIAN RHAPSODY,145822119
2018,Oct 26-28,HALLOWEEN,105667363
2018,Oct 19-21,HALLOWEEN,166083062
2018,Oct 12-14,VENOM,136738283
2018,Oct 5-7,VENOM,178863365
2018,Sep 28-30,NIGHT SCHOOL,106442479
2018,Sep 21-23,THE HOUSE WITH A CLOCK IN ITS WALLS,92316508
2018,Sep 14-16,THE PREDATOR,109133476
2018,Sep 7-9,THE NUN,121114594
2018,Aug 24-26,CRAZY RICH ASIANS,103657410
2018,Aug 17-19,CRAZY RICH ASIANS,129469267
2018,Aug 10-12,THE MEG,147302462
2018,Aug 3-5,MISSION: IMPOSSIBLE - FALLOUT,139748359
2018,Jul 27-29,MISSION: IMPOSSIBLE - FALLOUT,156588266
2018,Jul 20-22,THE EQUALIZER 2,172609113
2018,Jun 8-10,OCEAN'S EIGHT,120294762
2018,Jun 1-3,SOLO: A STAR WARS STORY,106760099
2018,May 25-27,SOLO: A STAR WARS STORY,182046016
2018,May 18-20,DEADPOOL 2,209967303
2018,May 11-13,AVENGERS: INFINITY WAR,139102219
2018,May 4-6,AVENGERS: INFINITY WAR,169550312
2018,Apr 27-29,AVENGERS: INFINITY WAR,313937789
2018,Apr 20-22,A QUIET PLACE,125778372
2018,Apr 13-15,RAMPAGE,150160537
2018,Apr 6-8,A QUIET PLACE,164133343
2018,Mar 23-25,PACIFIC RIM: UPRISING,130423221
2018,Mar 16-18,BLACK PANTHER,132848455
2018,Mar 9-11,BLACK PANTHER,139696317
2018,Mar 2-4,BLACK PANTHER,149122522
2018,Feb 2-4,JUMANJI: WELCOME TO THE JUNGLE,94988230
2018,Jan 26-28,MAZE RUNNER: THE DEATH CURE,142985855
2018,Jan 19-21,JUMANJI: WELCOME TO THE JUNGLE,135628208
2018,Jan 12-14,JUMANJI: WELCOME TO THE JUNGLE,159135848
2018,Jan 5-7,JUMANJI: WELCOME TO THE JUNGLE,165531482
2019,Dec 27-29,STAR WARS: EPISODE IX - THE RISE OF SKYWALKER,197191326
2019,Dec 20-22,STAR WARS: EPISODE IX - THE RISE OF SKYWALKER,247812806
2019,Dec 13-15,JUMANJI: THE NEXT LEVEL,117816850
2019,Nov 22-24,FROZEN II,204914094
2019,Nov 15-17,FORD V FERRARI,109188015
2019,Nov 8-10,MIDWAY,121321449
2019,Nov 1-3,TERMINATOR: DARK FATE,115484817
2019,Oct 25-27,MALEFICENT: MISTRESS OF EVIL,107575317
2019,Oct 18-20,MALEFICENT: MISTRESS OF EVIL,137738327
2019,Oct 11-13,JOKER,141314393
2019,Oct 4-6,JOKER,150560443
2019,Sep 27-29,ABOMINABLE,94527126
2019,Sep 20-22,DOWNTON ABBEY,123431530
2019,Sep 13-15,IT: CHAPTER TWO,110793853
2019,Sep 6-8,IT: CHAPTER TWO,138423527
2019,Aug 23-25,ANGEL HAS FALLEN,108764687
2019,Aug 16-18,GOOD BOYS,120307107
2019,Aug 9-11,FAST & FURIOUS PRESENTS: HOBBS & SHAW,132104260
2019,Aug 2-4,FAST & FURIOUS PRESENTS: HOBBS & SHAW,148998871
2019,Jul 26-28,THE LION KING,162868014
2019,Jul 19-21,THE LION KING,263882516
2019,Jul 12-14,SPIDER-MAN: FAR FROM HOME,126932873
2019,Jul 5-7,SPIDER-MAN: FAR FROM HOME,183814074
2019,Jun 28-30,TOY STORY 4,151841304
2019,Jun 21-23,TOY STORY 4,203833169
2019,Jun 14-16,MEN IN BLACK: INTERNATIONAL,135914033
2019,Jun 7-9,THE SECRET LIFE OF PETS 2,165733750
2019,May 24-26,ALADDIN,181249523
2019,May 17-19,JOHN WICK: CHAPTER 3 - PARABELLUM,148365208
2019,May 10-12,AVENGERS: ENDGAME,168253370
2019,May 3-5,AVENGERS: ENDGAME,199858498
2019,Apr 26-28,AVENGERS: ENDGAME,402087399
2019,Apr 19-21,THE CURSE OF LA LLORONA,109192341
2019,Apr 12-14,SHAZAM!,111173940
2019,Apr 5-7,SHAZAM!,146937939
2019,Mar 29-31,DUMBO,137830324
2019,Mar 22-24,US,148803456
2019,Mar 15-17,CAPTAIN MARVEL,139804590
2019,Mar 8-10,CAPTAIN MARVEL,210564349
2019,Mar 1-3,HOW TO TRAIN YOUR DRAGON: THE HIDDEN WORLD,115976518
2019,Feb 22-24,HOW TO TRAIN YOUR DRAGON: THE HIDDEN WORLD,127999939
2019,Feb 15-17,ALITA: BATTLE ANGEL,126265201
2019,Feb 8-10,THE LEGO MOVIE 2: THE SECOND PART,115811896
2019,Feb 1-3,GLASS,73462968
2019,Jan 25-27,GLASS,103503701
2019,Jan 18-20,GLASS,129779595
2019,Jan 11-13,THE UPSIDE,119640159
2019,Jan 4-6,AQUAMAN,138872261
2020,Mar 6-8,ONWARD,100774559
2020,Feb 21-23,SONIC THE HEDGEHOG,102566656
2020,Feb 14-16,SONIC THE HEDGEHOG,156172047
2020,Feb 7-9,BIRDS OF PREY AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN,95487067
2020,Jan 24-26,BAD BOYS FOR LIFE,121644167
2020,Jan 17-19,BAD BOYS FOR LIFE,166374186
2020,Jan 10-12,1917,132086940
2020,Jan 3-5,STAR WARS: EPISODE IX - THE RISE OF SKYWALKER,142435395
2021,Dec 24-26,SPIDER-MAN: NO WAY HOME,143835740
2021,Dec 17-19,SPIDER-MAN: NO WAY HOME,282972675
2021,Dec 10-12,WEST SIDE STORY,43940100
2021,Nov 19-21,GHOSTBUSTERS: AFTERLIFE,83605882
2021,Nov 12-14,ETERNALS,70592982
2021,Nov 5-7,ETERNALS,109680290
2021,Oct 29-31,DUNE: PART ONE,64314942
2021,Oct 22-24,DUNE: PART ONE,95933008
2021,Oct 15-17,HALLOWEEN KILLS,109291570
2021,Oct 8-10,NO TIME TO DIE,108944907
2021,Oct 1-3,VENOM: LET THERE BE CARNAGE,129067431
2021,Sep 24-26,SHANG-CHI AND THE LEGEND OF THE TEN RINGS,38776611
2021,Sep 17-19,SHANG-CHI AND THE LEGEND OF THE TEN RINGS,47995991
2021,Sep 10-12,SHANG-CHI AND THE LEGEND OF THE TEN RINGS,61319968
2021,Sep 3-5,SHANG-CHI AND THE LEGEND OF THE TEN RINGS,110442804
2021,Aug 27-29,CANDYMAN,61554358
2021,Aug 20-22,FREE GUY,63396181
2021,Aug 13-15,FREE GUY,75602898
2021,Aug 6-8,THE SUICIDE SQUAD,65132575
2021,Jul 23-25,OLD,70580445
2021,Jul 16-18,SPACE JAM: A NEW LEGACY,91564483
2021,Jul 9-11,BLACK WIDOW,119206927
2021,Jul 2-4,F9: THE FAST SAGA,69008109
2021,Jun 25-27,F9: THE FAST SAGA,98777522
2021,Jun 18-20,HITMAN'S WIFE'S BODYGUARD,45874570
2022,Dec 23-25,AVATAR: THE WAY OF WATER,94711196
2022,Nov 18-20,BLACK PANTHER: WAKANDA FOREVER,100684871
2022,Nov 11-13,BLACK PANTHER: WAKANDA FOREVER,209537723
2022,Nov 4-6,BLACK ADAM,58930348
2022,Oct 28-30,BLACK ADAM,67841734
2022,Oct 21-23,BLACK ADAM,113651016
2022,Oct 14-16,HALLOWEEN ENDS,76347045
2022,Oct 7-9,SMILE,58977399
2022,Sep 23-25,DON'T WORRY DARLING,62432510
2022,Sep 16-18,THE WOMAN KING,51471499
2022,Sep 9-11,BARBARIAN,43236335
2022,Sep 2-4,TOP GUN: MAVERICK,55828733
2022,Aug 26-28,THE INVITATION,52149248
2022,Aug 19-21,DRAGON BALL SUPER: SUPER HERO,78932546
2022,Aug 12-14,BULLET TRAIN,65390508
2022,Aug 5-7,BULLET TRAIN,92090558
2022,Jul 29-31,DC LEAGUE OF SUPER-PETS,97884374
2022,Jul 22-24,NOPE,126240948
2022,Jul 15-17,THOR: LOVE AND THUNDER,132813074
2022,Jul 8-10,THOR: LOVE AND THUNDER,238358815
2022,Jul 1-3,MINIONS: THE RISE OF GRU,189937068
2022,Jun 24-26,ELVIS,134640716
2022,Jun 17-19,JURASSIC WORLD: DOMINION,164531244
2022,Jun 10-12,JURASSIC WORLD: DOMINION,214852722
